YEAR,MONTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,SOURCE,TOR_F_SCALE,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,RADAR_DIST,RADAR_2026
2001,8,40.75,-111.75,40.75,-111.75,GENERAL PUBLIC,F0,0,0,0,0,0.0,0.0,81.72591190125422,True
2001,8,39.63333,-111.43333,39.63333,-111.43333,TRAINED SPOTTER,F0,0,0,0,0,0.0,0.0,200.48721488506416,True
2001,7,39.6,-110.81667,39.6,-110.81667,GENERAL PUBLIC,F0,0,0,0,0,0.0,0.0,230.73690218776392,True
2001,1,32.38333,-86.26667,32.4,-86.23333,NWS STORM SURVEY,F0,0,0,4,0,450000.0,0.0,47.88314438871803,True
2001,4,40.06667,-98.51667,40.11667,-98.48333,NWS STORM SURVEY,F0,0,0,0,0,1000.0,0.0,28.965337556374713,True
2001,3,28.33333,-82.23333,28.33333,-82.2,EMERGENCY MANAGER,F0,0,0,0,0,150000.0,0.0,71.77151588952107,True
2001,3,32.38333,-86.3,32.38333,-86.3,NWS STORM SURVEY,F1,0,0,0,0,125000.0,0.0,50.817545248839636,True
2001,3,28.35,-82.7,28.4,-82.63333,NWS STORM SURVEY,F0,0,0,0,0,250000.0,0.0,77.43024334981837,True
2001,2,34.78333,-86.76667,34.8,-86.68333,EMERGENCY MANAGER,F0,0,0,0,0,40000.0,0.0,64.43931784447618,True
2001,3,29.91667,-98.51667,29.91667,-98.51667,AMATEUR RADIO,F0,0,0,0,0,0.0,0.0,52.69130145272207,True
2001,3,33.81667,-80.76667,33.86667,-80.75,NWS STORM SURVEY,F0,0,0,0,0,0.0,0.0,35.64677658031551,True
2001,4,39.15,-99.4,39.38333,-99.2,NWS STORM SURVEY,F1,0,0,0,0,600000.0,0.0,153.81855737687295,True
2001,4,39.21667,-99.3,39.25,-99.26667,NWS STORM SURVEY,F0,0,0,1,0,100000.0,0.0,143.01016804425896,True
2001,5,41.21667,-84.98333,41.21667,-84.98333,FIRE DEPT/RESCUE SQUAD,F0,0,0,0,0,500.0,0.0,61.924252122678475,True
2001,4,39.71667,-99.26667,39.71667,-99.28333,NEWSPAPER,F0,0,0,0,0,125000.0,0.0,97.18725906576582,True
2001,6,42.63333,-102.2,42.61667,-102.1,LAW ENFORCEMENT,F0,0,0,0,0,10000.0,10000.0,153.2177369142777,True
2001,5,43.81667,-120.78333,43.81667,-120.76667,TRAINED SPOTTER,F0,0,0,0,0,0.0,0.0,249.02533342998368,False
2001,5,28.53333,-100.31667,28.53333,-100.31667,LAW ENFORCEMENT,F0,0,0,0,0,0.0,0.0,82.26829406710965,True
2001,5,30.08333,-100.21667,30.1,-100.21667,LAW ENFORCEMENT,F0,0,0,0,0,0.0,0.0,90.36929669068788,True
2001,4,39.61667,-98.88333,39.66667,-98.85,NWS STORM SURVEY,F1,0,0,0,0,75000.0,0.0,86.8651829684264,True
2001,3,28.95,-82.56667,28.98333,-82.45,NWS STORM SURVEY,F0,0,0,0,0,200000.0,0.0,139.343579405624,True
2001,4,41.05,-89.53333,41.05,-89.53333,STORM CHASER,F0,0,0,0,0,0.0,0.0,101.38790693369718,True
2001,3,28.88333,-82.38333,28.91667,-82.35,EMERGENCY MANAGER,F0,0,0,1,0,75000.0,0.0,131.00696636214334,True
2001,4,40.4,-98.55,40.4,-98.55,TRAINED SPOTTER,F0,0,0,0,0,0.0,0.0,12.701455646085023,True
2001,4,40.15,-98.21667,40.26667,-98.06667,NWS STORM SURVEY,F1,0,0,0,0,40000.0,0.0,26.953391227748966,True
2001,4,40.15,-97.56667,40.16667,-97.56667,NWS STORM SURVEY,F1,0,0,1,0,30000.0,0.0,76.6874761615305,True
2001,4,39.18333,-99.56667,39.38333,-99.4,NWS STORM SURVEY,F1,0,0,0,0,100000.0,0.0,158.87844981541167,True
2001,4,40.03333,-98.08333,40.03333,-98.08333,LAW ENFORCEMENT,F0,0,0,0,0,50000.0,0.0,44.16136501643328,True
2001,5,34.61667,-86.16667,34.61667,-86.16667,NWS STORM SURVEY,F1,0,0,0,0,22000.0,0.0,35.71685559218614,True
2001,5,34.01667,-86.55,34.01667,-86.55,NWS STORM SURVEY,F0,0,0,0,0,0.0,0.0,96.10897493543187,True
2001,6,34.01667,-80.93333,34.01667,-80.93333,OTHER FEDERAL AGENCY,F0,0,0,0,0,0.0,0.0,18.685172176181094,True
2001,6,42.65,-92.46667,42.66667,-92.33333,EMERGENCY MANAGER,F1,0,0,0,0,30000.0,3000.0,145.4293049772489,True
2001,5,40.35,-74.33333,40.37,-74.3,NWS STORM SURVEY,F2,0,0,0,0,1000000.0,0.0,45.29834038710698,True
2001,6,41.33333,-92.61667,41.33333,-92.61667,EMERGENCY MANAGER,F1,0,0,0,0,40000.0,2000.0,102.14803788675744,True
2001,4,39.5,-98.7,39.51667,-98.7,NWS STORM SURVEY,F1,0,0,0,0,50000.0,0.0,93.88841779413849,True
2001,4,39.46667,-98.6,39.55,-98.55,NWS STORM SURVEY,F1,0,0,0,0,100000.0,0.0,95.93065903781377,True
2001,4,39.58333,-98.51667,39.6,-98.48333,NWS STORM SURVEY,F0,0,0,0,0,10000.0,0.0,82.25327586575563,True
2001,4,39.56667,-98.48333,39.6,-98.43333,NWS STORM SURVEY,F0,0,0,0,0,50000.0,0.0,83.93296410496052,True
2001,4,39.85,-98.7,39.88333,-98.63333,NWS STORM SURVEY,F0,0,0,0,0,10000.0,0.0,56.7706359106579,True
2001,4,39.75,-98.0,39.78333,-97.95,NWS STORM SURVEY,F0,0,0,0,0,70000.0,0.0,73.78669265471444,True
2001,4,39.3,-99.01667,39.41667,-98.95,NWS STORM SURVEY,F1,0,0,0,0,150000.0,0.0,123.67103524776512,True
2001,5,29.13333,-98.08333,29.13333,-98.08333,NWS STORM SURVEY,F0,0,0,0,0,15000.0,0.0,63.68217754055884,True
2001,5,43.91667,-84.73333,43.91667,-84.73333,NWS STORM SURVEY,F0,0,0,0,0,10000.0,10000.0,110.05174151698763,True
2001,5,42.36667,-85.45,42.36667,-85.45,NWS STORM SURVEY,F2,0,0,0,0,500000.0,100000.0,59.13471983617747,True
2001,5,42.6,-84.9,42.6,-84.9,NWS STORM SURVEY,F0,0,0,0,0,300000.0,100000.0,61.97401741718018,True
2001,6,27.03333,-82.13333,27.03333,-82.13333,TRAINED SPOTTER,F0,0,0,0,0,10000.0,0.0,79.28475781295656,True
2001,5,39.78333,-104.43333,39.78333,-104.43333,TRAINED SPOTTER,F0,0,0,0,0,0.0,0.0,9.617325905686412,True
2001,6,27.15,-82.43333,27.15,-82.43333,GENERAL PUBLIC,F0,0,0,0,0,0.0,0.0,61.82088208659609,True
2001,6,28.3,-80.9,28.32,-80.9,STORM CHASER,F0,0,0,0,0,0.0,0.0,31.798448316592225,True
2001,6,28.38,-80.85,28.38,-80.85,STORM CHASER,F0,0,0,0,0,0.0,0.0,35.327810610979206,True
2001,6,28.48333,-80.56667,28.48333,-80.56667,OTHER FEDERAL AGENCY,F0,0,0,0,0,0.0,0.0,42.06043649627892,True
2001,6,37.11667,-83.78333,37.11667,-83.78333,GENERAL PUBLIC,F0,0,0,0,0,0.0,0.0,67.13931038695124,True
2001,6,37.13333,-84.08333,37.13333,-84.08333,LAW ENFORCEMENT,F2,0,0,10,0,17140000.0,0.0,84.98419061420223,True
2001,5,39.58333,-98.05,39.56667,-98.05,LAW ENFORCEMENT,F0,0,0,0,0,0.0,0.0,88.55018843681239,True
2001,5,39.53333,-98.06667,39.53333,-98.05,LAW ENFORCEMENT,F0,0,0,0,0,0.0,0.0,93.22947397773935,True
2001,5,39.6,-99.48333,39.6,-99.48333,LAW ENFORCEMENT,F0,0,0,0,0,0.0,0.0,119.59049424481097,True
2001,6,39.06667,-103.7,39.06667,-103.7,TRAINED SPOTTER,F0,0,0,0,0,0.0,0.0,108.10297957292624,True
2001,6,39.31667,-103.7,39.31667,-103.7,GENERAL PUBLIC,F0,0,0,0,0,0.0,0.0,89.38287290251985,True
2001,5,41.15,-97.95,41.11667,-97.9,GENERAL PUBLIC,F0,0,0,0,0,0.0,0.0,101.087344919252,True
2001,6,39.98333,-104.8,39.98333,-104.8,LAW ENFORCEMENT,F0,0,0,0,0,0.0,0.0,30.802728507698735,True
2001,6,39.98333,-104.66667,39.98333,-104.66667,STORM CHASER,F0,0,0,0,0,0.0,0.0,24.181502931796818,True
2001,5,39.53333,-99.41667,39.53333,-99.41667,LAW ENFORCEMENT,F0,0,0,0,0,10000.0,0.0,120.7299751974721,True
2001,5,39.45,-99.31667,39.45,-99.3,LAW ENFORCEMENT,F0,0,0,0,0,120000.0,0.0,122.25531215329178,True
2001,5,39.3,-99.21667,39.3,-99.21667,LAW ENFORCEMENT,F0,0,0,0,0,0.0,0.0,131.3904935634745,True
2001,6,39.41667,-103.7,39.41667,-103.7,TRAINED SPOTTER,F0,0,0,0,0,0.0,0.0,83.32615331657176,True
2001,6,39.43333,-103.7,39.43333,-103.7,TRAINED SPOTTER,F0,0,0,0,0,0.0,0.0,82.41969163646486,True
2001,6,33.98333,-101.43333,33.98333,-101.43333,TRAINED SPOTTER,F1,0,0,0,0,80000.0,15000.0,50.770851821427286,True
2001,6,32.31667,-106.75,32.31667,-106.75,GENERAL PUBLIC,F0,0,0,0,0,0.0,0.0,49.571002664900476,True
2001,7,42.9,-101.66667,42.85,-101.5,GENERAL PUBLIC,F0,0,0,0,0,115000.0,75000.0,137.77654572056667,True
2001,6,28.25,-82.36667,28.25,-82.36667,EMERGENCY MANAGER,F0,0,0,0,0,100000.0,0.0,60.67015287872176,True
2001,6,26.95,-82.05,26.95,-82.05,EMERGENCY MANAGER,F0,0,0,0,0,5000.0,0.0,90.8937911031304,True
2001,6,40.76667,-103.2,40.76667,-103.2,LAW ENFORCEMENT,F0,0,0,0,0,0.0,0.0,141.5048281442047,True
2001,6,40.86667,-103.23333,40.86667,-103.23333,LAW ENFORCEMENT,F0,0,0,0,0,0.0,0.0,135.7246006897371,True
2001,5,38.73333,-104.05,38.73333,-104.05,LAW ENFORCEMENT,F0,0,0,0,0,0.0,0.0,124.65734832276604,True
2001,6,36.03333,-89.43333,36.03333,-89.43333,NWS STORM SURVEY,F0,0,0,0,0,0.0,1000.0,86.26677038555545,True
