YEAR,MONTH,BEGIN_LAT,BEGIN_LON,TOR_F_SCALE,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,RADAR_DIST,RADAR_2026
2012,10,37.2772,-93.4429,0,0,0,0,0,25000.0,0.0,5.997748612897789,True
2012,12,30.7625,-89.5228,0,0,0,0,0,10000.0,0.0,88.83444686446913,True
2012,12,35.399,-94.119,1,0,0,0,0,400000.0,0.0,25.121409239112836,True
2012,3,34.072,-81.076,0,0,0,0,0,30000.0,0.0,14.272479539141212,True
2012,12,31.2131,-95.1956,0,0,0,0,0,0.0,0.0,187.91189772507175,True
2012,2,32.8819,-80.8933,1,0,0,0,0,125000.0,0.0,28.765311260716683,True
2012,3,31.434,-84.9487,0,0,0,0,0,5000.0,0.0,48.534302857003915,True
2012,10,39.609,-76.504,0,0,0,0,0,0.0,0.0,110.07133064521797,True
2012,3,41.8623,-83.567,0,0,0,0,0,50000.0,0.0,93.47650112999314,True
2012,4,32.965,-93.991,0,0,0,0,0,5000.0,0.0,58.865080202270164,True
2012,2,33.7119,-81.3239,1,0,0,0,0,60000.0,0.0,32.43922342641021,True
2012,2,33.7026,-80.537,0,0,0,0,0,10000.0,0.0,60.287982531525685,True
2012,1,30.46,-94.43,0,0,0,0,0,10000.0,0.0,122.36663106711484,True
2012,12,34.79,-76.67,1,0,0,0,0,10000.0,0.0,18.914623398091656,True
2012,1,30.5388,-94.1903,0,0,0,0,0,20000.0,0.0,104.20994557522803,True
2012,1,30.6494,-93.9221,1,0,0,0,0,50000.0,0.0,89.35832132664223,True
2012,1,30.75,-94.02,0,0,0,0,0,5000.0,0.0,103.76929780141327,True
2012,1,31.1,-93.54,0,0,0,0,0,20000.0,0.0,54.05090101576894,True
2012,1,31.33,-92.72,0,0,0,0,0,40000.0,0.0,31.1292018961604,True
2012,1,31.14,-92.73,0,0,0,0,0,50000.0,0.0,23.45588776205351,True
2012,1,31.912,-94.692,1,0,0,1,0,100000.0,0.0,100.00158066853557,True
2012,3,31.6453,-93.5389,0,0,0,0,0,0.0,0.0,76.32131533591583,True
2012,1,31.27,-92.33,0,0,0,0,0,100000.0,0.0,62.72893195326539,True
2012,1,29.7179,-92.7626,0,0,0,0,0,10000.0,0.0,62.93216501412547,True
2012,1,30.2286,-92.1415,0,0,0,0,0,75000.0,0.0,103.91167781306787,True
2012,3,31.7434,-93.0481,0,0,0,0,0,60000.0,0.0,65.75541872005992,True
2012,3,31.9848,-92.8863,0,0,0,0,0,0.0,0.0,92.62867008960174,True
2012,4,32.0995,-94.9101,0,0,0,0,0,0.0,0.0,107.81433175542841,True
2012,4,31.9918,-94.7454,0,0,0,0,0,0.0,0.0,99.1938996904794,True
2012,3,32.0508,-92.4855,0,0,0,0,0,0.0,0.0,109.87315097366564,True
2012,12,31.36,-86.13,0,0,0,0,0,2000.0,0.0,64.6164575539485,True
2012,4,36.3899,-99.4107,0,0,0,0,0,0.0,0.0,121.06252278973491,True
2012,4,36.7874,-99.21,0,0,0,0,0,0.0,0.0,96.56729322980833,True
2012,4,33.347,-95.212,0,0,0,0,0,0.0,0.0,162.1954112825543,True
2012,4,33.465,-95.056,0,0,0,0,0,0.0,0.0,159.88026843038477,True
