YEAR,MONTH,BEGIN_LAT,BEGIN_LON,TOR_F_SCALE,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,RADAR_DIST,RADAR_2026
2023,2,35.123,-97.55,2,0,0,0,0,200000.0,0.0,34.015207922121746,True
2023,1,37.23,-88.89,0,0,0,0,0,15000.0,0.0,20.80037328003353,True
2023,1,40.422,-88.367,1,0,0,0,0,0.0,0.0,87.62424685775186,True
2023,2,35.276,-98.013,0,0,0,0,0,10000.0,0.0,67.0212057003846,True
2023,2,35.15,-99.918,1,0,0,0,0,75000.0,0.0,122.75599833115238,True
2023,2,34.81,-99.954,-1,0,0,0,0,0.0,0.0,102.39187808244667,True
2023,2,35.164,-97.454,2,0,0,12,0,50000000.0,0.0,24.688114320373305,True
2023,1,30.3557,-86.0433,0,0,0,0,0,0.0,0.0,26.033106742984806,True
2023,1,30.2885,-85.0355,0,0,0,0,0,10000.0,0.0,68.88283221277833,True
2023,1,30.35,-86.15,0,0,0,0,0,0.0,0.0,32.414790660186085,True
2023,1,30.2939,-84.2843,1,0,0,0,0,100000.0,0.0,12.287750490716187,True
2023,1,31.6778,-85.3872,1,0,0,0,0,50000.0,0.0,25.106316202082773,True
2023,1,30.3172,-84.3812,1,0,0,0,0,0.0,0.0,10.241953940346324,True
2023,1,31.1474,-83.444,2,0,0,0,0,500000.0,0.0,50.92305550580824,True
2023,1,38.32,-121.14,0,0,0,0,0,25000.0,0.0,51.00423931516922,True
2023,1,32.723,-87.474,0,0,0,0,0,0.0,0.0,82.5269386174946,True
2023,1,32.4249,-85.4533,0,0,0,0,0,0.0,0.0,33.91706493758897,True
2023,1,32.8027,-87.2421,1,0,0,0,0,0.0,0.0,60.223465371967485,True
2023,6,32.3565,-89.811,0,0,0,0,0,1000.0,0.0,18.384971560383715,True
2023,1,39.9435,-89.2047,-1,0,0,0,0,0.0,0.0,25.61577292879826,True
2023,1,30.4612,-93.2406,1,0,0,0,0,20000.0,0.0,37.425708127730935,True
2023,1,32.384,-85.9258,0,0,0,0,0,0.0,0.0,21.236954193816914,True
2023,1,32.8493,-87.0548,0,0,0,0,0,0.0,0.0,44.65076547507456,True
2023,1,36.346,-95.298,0,0,0,0,0,50000.0,0.0,30.511467941582676,True
2023,1,30.43,-86.05,0,0,0,0,0,0.0,0.0,19.40725099012085,True
2023,1,30.4116,-86.3182,2,0,0,0,0,250000.0,0.0,41.65095801860861,True
2023,1,30.1797,-93.7106,2,0,0,0,0,250000.0,0.0,47.95002406175052,True
2023,1,30.4028,-93.3181,2,0,0,3,0,500000.0,0.0,32.38066174954453,True
2023,1,35.32,-95.474,1,0,0,0,0,100000.0,0.0,95.41784899016005,True
2023,1,31.7499,-93.4807,1,0,0,0,0,15000.0,0.0,81.64126311524431,True
2023,6,31.2508,-89.8261,0,0,0,0,0,60000.0,0.0,98.42587592123455,True
2023,1,32.0582,-93.2735,0,0,0,0,0,10000.0,0.0,68.9659826630143,True
2023,2,35.7864,-93.4669,1,0,0,0,0,200000.0,0.0,97.97586707256197,True
2023,2,35.8649,-92.7179,1,0,0,0,0,10000.0,0.0,121.6122948840001,True
2023,1,32.172,-92.7048,2,0,0,3,0,850000.0,0.0,111.20787915081256,True
2023,2,33.91,-117.98,0,0,0,0,0,0.0,0.0,123.58664487637567,True
2023,1,39.7852,-89.196,-1,0,0,0,0,0.0,0.0,42.353377905620405,True
2023,1,32.6239,-86.4098,2,0,0,0,0,0.0,0.0,58.90144148533981,True
2023,1,32.784,-92.1695,2,0,0,0,0,250000.0,0.0,160.893312857353,True
2023,1,33.3164,-93.3557,1,0,0,0,0,35000.0,0.0,106.3909157308718,True
2023,6,32.243,-89.73,1,0,0,0,0,10000.0,0.0,24.275650473941973,True
2023,6,32.0465,-89.563,0,0,0,0,0,5000.0,0.0,47.41095664820387,True
2023,1,32.6835,-87.3491,1,0,0,0,0,0.0,0.0,76.64097362998534,True
2023,1,32.5609,-86.5972,0,0,0,0,0,0.0,0.0,69.82892755478942,True
2023,1,32.993,-86.515,0,0,0,0,0,0.0,0.0,30.969371298983365,True
2023,1,33.3464,-85.6469,0,0,0,0,0,0.0,0.0,91.0225908078685,True
2023,1,33.1034,-92.8093,1,0,0,0,0,130000.0,0.0,120.71786610910415,True
2023,6,32.1226,-90.1315,2,0,0,0,0,200000.0,0.0,22.310244845755086,True
2023,6,32.118,-90.0116,0,0,0,0,0,2000.0,0.0,18.192853102668032,True
2023,6,32.0915,-89.4102,0,0,0,0,0,75000.0,0.0,57.96207663050254,True
2023,6,32.3554,-89.9352,1,0,0,0,0,25000.0,0.0,9.577152004752561,True
2023,1,29.833,-94.1996,1,0,0,0,0,15000.0,0.0,93.97481706276537,True
2023,1,30.0741,-93.8921,2,0,0,2,0,1000000.0,0.0,65.30141355569077,True
2023,1,39.8744,-89.2868,-1,0,0,0,0,0.0,0.0,30.993602302906613,True
2023,2,41.7839,-88.1619,0,0,0,0,0,0.0,0.0,20.965870151561504,True
2023,2,41.5501,-88.2636,0,0,0,0,0,0.0,0.0,16.08099493655024,True
2023,2,41.56,-88.256,0,0,0,0,0,0.0,0.0,15.100775972040596,True
2023,2,36.8,-94.42,1,0,0,0,0,550000.0,0.0,102.65963486730917,True
2023,2,37.56,-93.69,0,0,0,0,0,0.0,0.0,44.25903889130212,True
2023,4,26.506,-80.08,0,0,0,0,0,50000.0,0.0,104.98031908317992,True
2023,4,26.8251,-80.0897,2,0,0,0,0,250000.0,0.0,138.85014190322013,True
2023,2,36.07,-92.837,2,0,0,2,0,200000.0,0.0,138.97334403473877,True
2023,2,36.0425,-92.9051,2,0,0,0,0,100000.0,0.0,139.79446444703137,True
2023,2,35.3868,-100.1214,1,0,0,0,0,0.0,0.0,145.0872877197634,True
2023,2,39.9423,-85.7692,1,0,0,0,0,50000.0,0.0,50.85808692439045,True
2023,2,30.6566,-86.0573,1,0,0,0,0,5000.0,0.0,16.49767806610374,True
2023,2,37.372,-94.045,0,0,0,0,0,50000.0,0.0,59.017114290689655,True
2023,4,26.3239,-80.0743,0,0,0,0,0,0.0,0.0,86.24725102982329,True
2023,4,26.0215,-80.1144,0,0,0,0,0,0.0,0.0,54.60524068958112,True
2023,6,33.82,-100.73,-1,0,0,0,0,0.0,0.0,101.93332055053261,True
2023,6,34.01,-100.89,-1,0,0,0,0,0.0,0.0,94.08691581000681,True
2023,6,33.62,-100.72,-1,0,0,0,0,0.0,0.0,101.36441355219509,True
2023,11,32.604,-89.94,1,0,0,0,0,60000.0,0.0,36.26882220258096,True
