,year,EF0,EF1,EF2,EF3,EF4,EF5,Nspring,Nsummer,Nautumn,Nwinter
0,1990,541,412,190,71,42,8,329,235,73,86
1,1991,694,313,128,61,10,2,360,91,40,23
2,1992,707,447,151,67,30,2,119,321,219,38
3,1993,242,134,37,7,3,0,92,27,45,17
4,1994,381,144,42,10,4,0,76,89,31,4
5,1995,478,168,57,13,9,0,147,50,32,18
6,1996,765,341,102,26,3,1,225,118,97,33
7,1997,756,294,89,31,9,1,169,131,75,49
8,1998,914,416,137,48,11,3,271,189,94,61
9,1999,885,381,164,69,16,2,311,135,24,162
10,2000,755,290,82,27,3,0,202,74,70,56
11,2001,854,321,122,31,8,0,162,94,191,35
12,2002,658,243,89,38,6,0,145,55,141,35
13,2003,928,400,116,37,13,0,379,131,47,9
14,2004,1243,515,116,28,8,0,262,151,237,17
15,2005,834,377,93,24,1,0,97,196,174,28
16,2006,754,342,117,41,2,0,274,69,101,58
17,2007,724,354,121,38,4,1,282,86,80,70
18,2008,1072,598,204,68,11,1,455,177,37,213
19,2009,742,403,101,25,2,0,299,138,40,54
20,2010,822,417,149,46,17,0,255,224,108,42
21,2011,884,780,270,97,32,11,946,111,63,70
22,2012,608,280,124,38,8,0,228,49,30,143
23,2013,544,366,107,26,9,1,191,79,145,94
24,2014,565,375,88,28,8,0,169,199,95,36
25,2015,741,467,80,24,8,0,242,140,101,96
26,2016,571,357,92,27,2,0,209,109,68,92
27,2017,716,690,168,20,2,0,420,152,113,195
28,2018,683,445,98,12,0,0,184,119,177,75
29,2019,734,618,138,45,3,0,524,138,70,72
30,2020,521,477,106,22,10,0,328,139,30,118
31,2021,626,514,132,33,9,0,203,148,96,241
32,2022,486,548,152,22,5,0,480,88,70,89
33,2023,515,524,168,43,2,0,330,215,21,171
34,2024,698,923,181,51,5,0,660,248,96,156
35,2025,492,623,174,42,6,1,610,159,28,49
