,YEAR,MONTH,BEGIN_LAT,BEGIN_LON,TOR_F_SCALE
0,1990,6,44.37,-92.63,1
1,1990,5,42.08,-71.4,0
2,1990,6,41.1,-98.47,0
3,1990,6,41.52,-97.73,0
4,1990,6,40.25,-100.75,4
5,1990,6,40.62,-100.07,0
6,1990,6,40.62,-100.07,0
7,1990,6,40.05,-97.5,1
8,1990,6,40.98,-99.12,1
9,1990,6,41.2,-98.85,0
10,1990,6,42.68,-98.65,0
11,1990,6,42.43,-98.73,0
12,1990,6,40.08,-99.32,0
13,1990,6,40.03,-99.43,1
14,1990,6,40.1,-99.15,1
15,1990,6,41.37,-98.85,1
16,1990,6,40.33,-98.22,0
17,1990,5,34.47,-104.03,0
18,1990,6,41.7,-97.7,0
19,1990,6,41.63,-97.9,0
20,1990,6,40.15,-101.23,4
21,1990,6,40.07,-98.65,0
22,1990,5,37.03,-95.95,0
23,1990,3,42.57,-91.0,1
24,1990,9,33.2,-91.27,0
25,1990,5,33.18,-101.58,0
26,1990,3,40.7,-91.32,0
27,1990,3,37.02,-95.1,1
28,1990,4,37.98,-97.65,0
29,1990,4,37.98,-97.17,0
30,1990,4,37.4,-98.23,1
31,1990,4,37.57,-98.12,0
32,1990,6,38.35,-96.18,0
33,1990,4,39.4,-99.03,1
34,1990,4,38.78,-99.55,3
35,1990,4,39.58,-98.93,1
36,1990,5,38.83,-95.63,0
37,1990,5,38.48,-97.37,3
38,1990,5,37.82,-95.4,0
39,1990,4,37.6,-100.52,1
40,1990,4,38.4,-99.9,0
41,1990,4,38.77,-100.48,0
42,1990,4,38.62,-99.73,3
43,1990,4,39.23,-99.22,1
44,1990,4,38.68,-99.7,3
45,1990,6,37.65,-101.45,2
46,1990,7,41.75,-103.33,0
47,1990,10,39.33,-74.48,0
48,1990,5,38.52,-97.9,3
49,1990,6,38.83,-94.88,0
50,1990,5,38.5,-98.18,3
51,1990,5,38.38,-99.18,0
52,1990,5,38.45,-99.0,0
53,1990,5,38.45,-98.55,3
54,1990,5,38.48,-98.45,3
55,1990,5,38.53,-98.42,3
56,1990,6,40.43,-97.53,1
57,1990,6,40.28,-98.82,0
58,1990,6,40.48,-98.68,0
59,1990,6,40.4,-98.45,2
60,1990,6,40.35,-98.95,0
61,1990,6,40.33,-98.5,1
62,1990,6,40.58,-98.52,0
63,1990,7,42.32,-103.33,0
64,1990,7,42.8,-102.35,0
65,1990,7,40.82,-98.93,1
66,1990,10,40.438017,-74.642625,3
67,1990,10,40.13,-74.68,1
68,1990,10,40.65,-74.27,0
69,1990,6,41.82,-97.48,1
70,1990,6,40.23,-97.85,1
71,1990,6,40.72,-102.03,0
72,1990,6,41.2,-97.9,1
73,1990,6,41.57,-97.37,0
74,1990,6,40.02,-79.08,0
75,1990,9,36.73,-108.2,0
76,1990,4,36.02,-99.83,2
77,1990,8,42.02,-78.83,0
78,1990,8,42.5,-76.87,2
79,1990,3,34.88,-97.72,2
80,1990,3,34.93,-97.65,2
81,1990,3,36.73,-97.98,3
82,1990,3,35.08,-97.4,2
83,1990,3,34.97,-97.6,2
84,1990,3,35.22,-97.35,1
85,1990,3,36.95,-97.83,3
86,1990,3,35.3,-97.23,2
87,1990,3,35.05,-97.37,2
88,1990,6,42.18,-74.78,1
89,1990,8,47.47,-98.15,0
90,1990,6,42.1,-84.55,1
91,1990,6,42.32,-84.08,2
92,1990,6,42.38,-85.4,0
93,1990,4,35.03,-82.08,1
94,1990,4,35.07,-81.55,1
95,1990,12,31.78,-90.5,0
96,1990,12,32.05,-90.35,0
97,1990,6,43.52,-85.65,1
98,1990,6,38.87,-84.18,2
99,1990,8,42.15,-79.22,0
100,1990,6,39.57,-97.57,1
101,1990,6,38.53,-93.53,1
102,1990,6,41.0,-99.52,0
103,1990,6,40.58,-82.62,2
104,1990,6,40.15,-82.68,1
105,1990,6,39.77,-81.18,0
106,1990,8,41.03,-74.82,0
107,1990,8,41.15,-74.42,0
108,1990,7,32.57,-104.43,0
109,1990,6,39.4,-83.98,0
110,1990,7,39.95,-80.27,1
111,1990,6,47.35,-102.27,0
112,1990,7,36.38,-89.35,0
113,1990,8,43.07,-76.27,0
114,1990,8,43.0,-75.17,1
115,1990,7,40.42,-75.17,1
116,1990,7,35.08,-106.57,0
117,1990,7,32.42,-104.32,0
118,1990,7,36.18,-104.7,0
119,1990,7,33.12,-104.75,0
120,1990,7,40.75,-98.73,0
121,1990,7,40.82,-98.65,0
122,1990,5,41.35,-102.98,0
123,1990,5,41.22,-102.3,0
124,1990,10,33.58,-80.78,2
125,1990,7,34.52,-78.45,2
126,1990,6,36.55,-96.73,0
127,1990,9,43.58,-86.2,1
128,1990,9,43.28,-85.57,1
129,1990,9,43.25,-85.35,1
130,1990,9,43.1,-85.28,1
131,1990,9,42.48,-83.47,3
132,1990,9,42.73,-83.53,1
133,1990,9,43.0,-82.42,1
134,1990,10,41.77,-75.03,1
135,1990,10,41.12,-74.15,0
136,1990,10,30.18,-93.57,0
137,1990,12,29.8,-90.83,1
138,1990,6,39.58,-76.62,0
139,1990,6,39.77,-98.85,0
140,1990,6,36.53,-96.72,0
141,1990,6,36.42,-96.57,1
142,1990,9,31.47,-91.72,1
143,1990,9,42.33,-83.47,0
144,1990,12,33.18,-89.93,3
145,1990,4,31.78,-93.82,1
146,1990,4,32.08,-93.98,1
