YEAR,MONTH,BEGIN_LAT,BEGIN_LON,TOR_F_SCALE
1995,5,30.5,-88.35,0
1995,7,34.03,-88.17,0
1995,4,32.52,-86.37,1
1995,3,34.53,-86.6,0
1995,4,31.03,-87.5,0
1995,10,31.23,-86.55,0
1995,6,36.93,-90.67,0
1995,5,45.13,-107.1,0
1995,5,37.73,-92.2,1
1995,6,40.43,-95.7,0
1995,3,31.55,-91.43,1
1995,4,32.08,-91.33,0
1995,5,40.92,-96.18,0
1995,5,40.87,-96.27,0
1995,5,39.98,-86.9,2
1995,6,40.38,-104.25,0
1995,4,33.68,-93.75,0
1995,4,33.68,-93.75,0
1995,4,33.13,-95.6,0
1995,5,36.03,-84.42,0
1995,7,45.08,-94.05,1
1995,6,29.07,-81.05,0
1995,4,33.75,-87.05,1
1995,3,36.57,-100.67,1
1995,5,41.65,-89.7,0
1995,6,34.97,-98.88,0
1995,7,34.95,-99.1,0
1995,11,31.18,-81.5,1
1995,5,35.23,-99.98,0
1995,3,32.05,-89.33,0
1995,3,32.05,-89.3,0
1995,5,39.37,-100.28,2
1995,1,33.48,-89.73,0
1995,5,38.25,-90.13,2
1995,5,38.27,-90.08,1
1995,1,30.33,-95.47,0
1995,5,38.13,-102.85,0
1995,6,34.6,-100.63,0
1995,4,32.63,-96.52,0
1995,4,32.65,-96.28,1
1995,5,34.4,-102.57,1
1995,5,39.12,-93.78,0
1995,12,29.47,-95.05,0
1995,6,35.97,-100.47,0
1995,7,45.92,-94.87,0
1995,5,36.5,-89.27,1
1995,5,35.48,-86.08,0
1995,9,39.13,-77.2,1
1995,5,45.38,-98.73,0
1995,7,46.27,-100.38,0
1995,7,46.27,-100.23,0
1995,4,33.33,-91.45,0
1995,3,31.22,-89.2,0
1995,6,35.18,-100.65,2
1995,6,35.12,-100.75,0
1995,6,35.53,-100.93,0
1995,6,35.2,-100.65,0
1995,6,35.25,-100.6,4
1995,1,33.77,-81.33,1
1995,6,42.12,-93.67,0
1995,4,32.63,-96.45,0
1995,1,34.13,-81.23,1
1995,6,43.27,-93.73,0
1995,4,35.05,-80.7,0
1995,10,38.5,-77.15,1
1995,7,39.43,-75.23,1
1995,5,37.78,-98.02,0
1995,5,37.78,-98.02,0
1995,7,42.23,-91.2,0
1995,3,29.82,-95.05,0
1995,4,31.38,-90.33,0
1995,3,35.65,-88.4,0
1995,5,35.65,-88.4,0
1995,5,42.42,-97.0,0
1995,3,43.05,-118.73,0
1995,10,31.67,-90.45,0
1995,7,40.38,-76.93,0
1995,6,40.38,-104.4,0
1995,8,44.02,-92.48,0
1995,11,30.8,-84.32,1
1995,4,32.35,-91.03,0
