YEAR,MONTH,BEGIN_LAT,BEGIN_LON,TOR_F_SCALE
2000,2,31.3,-83.63333,2
2000,1,36.46667,-91.65,1
2000,2,42.91667,-112.51667,0
2000,1,37.71667,-87.18333,3
2000,1,31.1,-91.26667,0
2000,1,34.38333,-89.25,3
2000,1,36.21667,-91.83333,1
2000,1,36.26667,-91.7,1
2000,1,34.16667,-89.55,2
2000,1,34.18333,-89.51667,2
2000,3,38.26667,-98.96667,0
2000,1,33.63333,-90.36667,1
2000,2,34.08333,-117.88333,0
2000,2,30.5,-85.53333,1
2000,2,30.46667,-85.61667,1
2000,2,31.26667,-83.46667,0
2000,2,34.18333,-99.36667,0
2000,2,43.28333,-112.18333,1
2000,2,36.33333,-100.13333,1
2000,3,26.7,-80.65,0
2000,2,31.06667,-84.15,3
2000,2,35.76667,-100.63333,0
2000,2,31.31667,-83.63333,2
2000,2,31.08333,-84.01667,3
2000,1,37.26667,-88.08333,3
2000,2,33.48333,-92.78333,1
2000,2,35.33333,-92.41667,1
2000,1,37.38333,-87.85,3
2000,2,31.16667,-84.26667,3
2000,2,31.01667,-84.2,3
2000,2,31.18333,-83.85,1
2000,2,31.05,-84.38333,1
2000,3,33.25,-94.45,0
2000,2,34.58333,-92.65,1
2000,2,34.6,-92.21667,0
2000,2,34.63333,-92.13333,0
2000,3,32.16667,-82.31667,0
2000,3,34.85,-94.63333,2
2000,3,34.2,-95.41667,0
2000,3,35.3,-94.13333,0
2000,3,35.3,-94.06667,0
2000,3,36.85,-97.95,0
2000,3,36.81667,-98.18333,0
2000,2,36.15,-86.86667,1
2000,3,35.16667,-77.21667,0
2000,3,30.73333,-85.01667,1
2000,2,37.9,-93.2,1
2000,3,33.63333,-94.78333,1
2000,3,33.6,-94.73333,1
2000,3,33.46667,-94.63333,1
2000,1,46.31667,-118.0,1
2000,3,29.9,-82.1,0
2000,3,29.46667,-101.01667,1
2000,3,29.48333,-101.21667,0
2000,3,30.65,-98.78333,1
2000,3,30.7,-98.66667,0
2000,3,35.36667,-95.26667,0
2000,3,34.71667,-95.85,0
2000,2,43.35,-112.11667,1
2000,2,43.41667,-112.06667,1
2000,2,42.78333,-112.83333,0
2000,3,35.3,-96.5,0
2000,3,34.53333,-95.68333,1
2000,3,34.08333,-80.55,0
2000,3,30.65,-98.48333,0
2000,3,29.81667,-85.3,0
