YEAR,MONTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,TOR_F_SCALE,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,RADAR_DIST,RADAR_2026
1996,1,41.95,-124.17,41.93,-124.17,0,0,0,0,0,2000.0,0.0,120.88959533662486,True
1996,1,41.75,-124.2,41.75,-124.2,0,0,0,0,0,1000.0,0.0,128.0832817638735,True
1996,1,26.0,-80.23,26.0,-80.22,0,0,0,0,0,100000.0,0.0,47.0222884065775,True
1996,2,32.35,-95.3,32.35,-95.3,0,0,0,1,0,8000.0,0.0,137.41208740362447,True
1996,5,33.52,-100.45,33.52,-100.45,0,0,0,0,0,0.0,0.0,127.23899471637428,True
1996,5,33.28,-101.73,33.28,-101.73,0,0,0,0,0,0.0,0.0,42.327480648429706,True
1996,5,33.3,-101.75,33.3,-101.75,0,0,0,0,0,0.0,0.0,39.82455705322478,True
1996,5,34.62,-102.78,34.62,-102.78,0,0,0,0,0,0.0,0.0,119.07800857642836,True
1996,5,37.2,-100.93,37.4,-100.85,2,0,0,0,0,200000.0,140000.0,105.26791820354815,True
1996,1,33.5,-80.87,33.5,-80.87,0,0,0,0,0,29000.0,0.0,54.92587593084866,True
1996,5,37.63,-100.65,37.87,-100.4,3,0,0,0,0,2000000.0,150000.0,61.66894889688815,True
1996,6,42.8,-92.48,42.88,-92.3,0,0,0,0,0,1000.0,1000.0,154.29750424600826,True
1996,5,39.67,-89.88,39.65,-89.85,0,0,0,0,0,0.0,0.0,70.71860959919259,True
1996,5,30.03,-91.88,30.07,-91.85,0,0,0,0,0,0.0,0.0,128.97660744539186,True
1996,6,43.25,-84.63,43.25,-84.63,0,0,0,0,0,0.0,0.0,84.20469086472625,True
1996,7,43.48,-87.95,43.45,-87.82,1,0,0,0,0,300000.0,230000.0,74.91247793569588,True
1996,4,37.08,-94.52,37.08,-94.52,1,0,0,0,0,1000000.0,0.0,100.72037232104034,True
1996,6,40.0,-104.97,40.0,-104.97,0,0,0,0,0,0.0,0.0,43.27361336125549,True
1996,7,40.08,-104.93,40.08,-104.93,0,0,0,0,0,0.0,0.0,46.2302560744053,True
1996,5,31.37,-100.32,31.37,-100.23,1,0,0,0,0,1000000.0,0.0,16.350129578087863,True
1996,7,43.83,-88.55,43.83,-88.55,0,0,0,0,0,100000.0,100000.0,82.17704009472668,True
1996,7,43.58,-88.13,43.57,-88.12,1,0,0,0,0,250000.0,200.0,76.1160146423215,True
1996,5,37.5,-92.93,37.5,-92.88,1,0,0,0,0,50000.0,0.0,50.92807138997566,True
1996,6,48.35,-99.2,48.35,-99.2,0,0,0,0,0,0.0,0.0,166.91120058213582,True
1996,7,40.42,-86.22,40.45,-86.18,1,0,0,0,0,65000.0,2000.0,79.39333774279005,True
1996,5,26.07,-80.15,25.97,-80.15,1,0,0,0,0,100000.0,0.0,57.472132157008986,True
1996,5,40.08,-97.53,40.17,-97.47,1,0,0,0,0,2000000.0,500000.0,81.94917077497182,True
1996,6,46.88,-96.1,46.88,-96.1,1,0,0,0,0,50000.0,50000.0,117.28583483284223,True
1996,5,37.57,-93.35,37.57,-93.35,0,0,0,0,0,0.0,0.0,37.48421553562626,True
1996,5,37.48,-93.28,37.48,-93.28,0,0,0,0,0,20000.0,0.0,29.215238243362972,True
1996,5,33.88,-100.37,33.9,-100.37,0,0,0,0,0,20000.0,0.0,135.83434630118848,True
1996,5,33.83,-100.53,33.83,-100.53,0,0,0,0,0,0.0,0.0,120.33701581910414,True
1996,4,36.88,-119.88,36.88,-119.88,0,0,0,0,0,0.0,0.0,66.69617645431408,True
1996,6,33.48,-101.7,33.48,-101.7,0,0,0,0,0,0.0,0.0,22.06303118614825,True
1996,5,46.07,-96.9,46.07,-96.9,1,0,0,0,0,50000.0,50000.0,135.7902552746628,True
1996,4,36.17,-119.32,36.17,-119.32,0,0,0,0,0,20000.0,0.0,32.257172353553905,True
1996,6,41.67,-76.18,41.57,-75.9,1,0,0,0,0,700000.0,0.0,61.073684966553756,True
1996,6,41.35,-75.75,41.33,-75.73,0,0,0,0,0,200000.0,0.0,96.46520715581481,True
1996,5,27.18,-80.92,27.25,-80.83,0,1,0,0,0,50000.0,0.0,106.99691138600498,True
1996,6,46.97,-96.22,46.97,-96.2,2,0,0,0,0,250000.0,50000.0,103.95465610910131,True
1996,7,36.95,-81.87,36.95,-81.82,1,0,0,0,0,200000.0,10000.0,141.97938787718977,True
1996,6,47.17,-96.95,47.17,-96.95,0,0,0,0,0,0.0,0.0,48.81810176720603,True
1996,6,41.28,-83.85,41.28,-83.85,0,0,0,0,0,2000.0,500.0,154.7413141152228,True
1996,5,39.57,-97.32,39.57,-97.28,2,0,0,0,0,300000.0,40000.0,113.22938598185902,True
1996,5,39.83,-96.18,39.83,-96.18,1,0,0,0,0,95000.0,25000.0,92.741729626137,True
1996,5,37.53,-94.65,37.55,-94.63,1,0,0,0,0,100000.0,0.0,115.17999076635017,True
1996,5,37.57,-94.57,37.62,-94.53,1,0,0,0,0,5000.0,0.0,109.82278391482012,True
1996,5,37.63,-94.53,37.63,-94.53,1,0,0,0,0,5000.0,0.0,108.97961466266551,True
1996,5,37.5,-92.85,37.5,-92.78,1,0,0,1,0,500000.0,0.0,56.84433472499751,True
1996,5,46.1,-96.4,46.1,-96.4,1,0,0,0,0,50000.0,10000.0,171.75698619446868,True
1996,6,47.8,-96.82,47.8,-96.82,0,0,0,0,0,0.0,0.0,48.42060274133616,True
1996,6,47.8,-96.87,47.8,-96.87,0,0,0,0,0,0.0,0.0,45.556294562591226,True
1996,6,42.73,-77.4,42.73,-77.4,1,0,0,0,0,50000.0,15000.0,111.68353182837232,True
1996,7,39.47,-101.02,39.45,-101.05,1,0,0,0,0,37000.0,10000.0,59.54898618712263,True
1996,4,37.13,-120.48,37.13,-120.48,0,0,0,0,0,10000.0,0.0,118.06763190877162,True
1996,7,39.13,-103.98,39.13,-103.98,0,0,0,0,0,0.0,0.0,87.69545781544815,True
1996,7,39.8,-104.4,39.65,-104.22,2,0,0,0,0,220000.0,6500000.0,12.545192230017488,True
1996,6,39.1,-95.43,39.12,-95.42,1,0,0,0,0,600000.0,2000.0,70.2402779112952,True
1996,6,42.7,-77.27,42.7,-77.27,1,0,0,0,0,75000.0,0.0,119.2263651961249,True
1996,6,41.63,-76.23,41.63,-76.23,1,0,0,0,0,500000.0,0.0,66.51837406600674,True
1996,7,43.7,-88.62,43.72,-88.38,5,0,0,12,0,39500000.0,900000.0,81.61377926782055,True
1996,7,43.93,-88.23,43.88,-88.17,2,1,0,1,0,450000.0,300000.0,63.933787186140734,True
1996,7,39.65,-104.93,39.65,-104.93,0,0,0,0,0,0.0,0.0,36.20286028088099,True
1996,11,32.5,-92.12,32.5,-92.12,1,0,0,0,0,60000.0,0.0,161.55424296991654,True
1996,11,32.1,-93.62,32.2,-93.48,1,0,0,0,0,100000.0,0.0,44.209115383595204,True
1996,11,32.53,-92.78,32.63,-92.67,2,2,0,9,0,2000000.0,0.0,99.92271231435814,True
1996,11,40.85,-75.43,40.97,-75.28,1,0,0,0,0,400000.0,0.0,132.41150396415307,True
1996,11,35.05,-86.3,35.13,-86.2,2,0,0,1,0,500000.0,10000.0,23.769597682000494,True
1996,11,32.18,-93.82,32.18,-93.82,1,0,0,0,0,70000.0,0.0,30.18099498358534,True
1996,11,36.33,-119.93,36.33,-119.93,0,0,0,0,0,0.0,0.0,26.74415355147527,True
1996,11,36.33,-119.93,36.33,-119.93,1,0,0,0,0,250000.0,0.0,26.74415355147527,True
1996,11,35.42,-118.85,35.43,-118.82,0,0,0,0,0,0.0,0.0,116.05619389565649,True
1996,12,32.98,-85.97,33.0,-85.97,0,0,0,0,0,80000.0,2000.0,52.10111464364693,True
1996,11,33.05,-86.3,33.08,-86.25,1,0,0,2,0,650000.0,20000.0,45.801950715791875,True
1996,12,38.28,-122.08,38.28,-122.07,0,0,0,1,0,500.0,500.0,42.814694706713944,True
1996,12,38.25,-122.93,38.25,-122.83,1,0,0,0,0,200000.0,5000.0,112.66891544196315,True
1996,9,35.2,-87.32,35.22,-87.28,1,0,0,0,0,100000.0,0.0,116.44687810603536,True
1996,7,40.93,-78.95,40.92,-78.92,0,0,0,0,0,1000.0,1000.0,79.48924680457687,True
1996,7,34.6,-102.38,34.6,-102.38,0,0,0,3,0,50000.0,0.0,93.27033385234708,True
1996,9,34.25,-87.18,34.28,-87.15,0,0,0,0,0,20000.0,10000.0,112.89238174553047,True
1996,9,33.62,-85.58,33.62,-85.57,0,0,0,0,0,45000.0,5000.0,98.2815091456365,True
1996,9,34.28,-87.28,34.27,-87.27,1,0,0,0,0,45000.0,12000.0,105.59134837166165,True
1996,9,40.45,-74.4,40.45,-74.4,0,0,0,0,0,10000.0,0.0,55.94512883245868,True
1996,11,40.8,-75.53,40.8,-75.53,2,0,0,1,0,250000.0,0.0,134.11666867477004,True
1996,12,37.17,-91.85,37.17,-91.85,0,0,0,0,0,0.0,0.0,137.4928878896925,True
1996,11,37.33,-120.45,37.33,-120.45,1,0,0,0,0,45000.0,0.0,129.6783187604007,True
1996,11,38.95,-76.22,38.95,-76.22,1,0,0,0,0,50000.0,0.0,68.91367892704149,True
1996,11,32.8,-86.68,32.85,-86.65,0,0,0,0,0,200000.0,5000.0,42.19594853164752,True
1996,10,36.77,-119.78,36.78,-119.78,0,0,0,0,0,0.0,1000.0,52.38021651799794,True
1996,4,37.08,-94.52,37.08,-94.52,1,0,0,12,0,12000000.0,0.0,100.72037232104034,True
1996,7,39.38,-77.7,39.35,-77.7,2,0,0,0,0,400000.0,75000.0,48.50315733949491,True
1996,9,36.8,-94.25,36.92,-94.13,1,0,0,0,0,30000.0,5000.0,89.63225440446783,True
1996,9,30.02,-100.65,30.02,-100.65,0,0,0,0,0,0.0,0.0,90.47241682801913,True
1996,3,34.3,-80.98,34.3,-80.97,0,0,0,0,0,2000.0,0.0,41.10426224376127,True
1996,7,39.5,-76.98,39.48,-76.95,3,0,0,3,0,5000000.0,20000.0,72.82822614620726,True
1996,7,39.43,-76.85,39.43,-76.85,1,0,0,0,0,75000.0,5000.0,74.59696071103355,True
1996,4,40.32,-89.35,40.32,-89.35,0,0,0,0,0,15000.0,0.0,18.881978040272763,True
1996,4,40.32,-89.33,40.33,-89.25,2,0,0,0,0,1000000.0,0.0,18.857462498199347,True
1996,4,37.35,-84.48,37.63,-84.37,1,0,0,0,0,12000.0,4000.0,106.40931451636584,True
1996,7,40.92,-78.92,40.87,-78.8,2,0,0,3,0,200000.0,10000.0,76.97169554233515,True
1996,4,37.92,-89.87,37.93,-89.85,0,0,0,0,0,500.0,5000.0,111.9358440508738,True
1996,4,33.52,-86.82,33.52,-86.82,0,0,0,0,0,75000.0,0.0,38.98328864507964,True
1996,4,39.72,-89.88,39.75,-89.83,0,0,0,0,0,250000.0,0.0,66.60615883303127,True
1996,3,32.65,-86.02,32.73,-85.92,3,0,0,0,0,700000.0,50000.0,24.983554798450985,True
1996,4,33.13,-88.15,33.13,-88.15,1,0,0,0,0,200000.0,0.0,86.87951877357577,True
1996,3,32.55,-87.42,32.57,-87.4,1,0,0,0,0,95000.0,25000.0,92.04142080628863,True
1996,3,32.5,-86.22,32.5,-86.22,1,0,0,0,0,150000.0,0.0,40.54617197171238,True
1996,4,37.1,-92.78,37.13,-92.75,0,0,0,0,0,100000.0,0.0,56.98183276878278,True
1996,4,39.9,-88.65,39.9,-88.65,1,0,0,0,0,500000.0,0.0,64.77343515031048,True
1996,4,39.98,-88.57,40.02,-88.53,1,0,0,1,0,1000000.0,0.0,67.95070551197355,True
1996,4,40.07,-88.25,40.08,-88.18,3,0,0,12,0,9000000.0,0.0,92.85516121393763,True
1996,4,39.82,-89.18,39.88,-88.92,3,0,0,29,0,9000000.0,0.0,39.10137679675505,True
1996,3,33.38,-81.0,33.38,-81.0,0,0,0,0,0,5000.0,0.0,64.17124883063609,True
1996,3,32.9,-85.8,32.97,-85.7,1,0,0,0,0,150000.0,40000.0,40.41516592389661,True
1996,3,32.15,-86.75,32.28,-86.48,2,0,0,2,0,100000.0,25000.0,99.92996427887515,True
1996,4,40.35,-89.25,40.37,-89.18,3,0,0,0,0,1000000.0,0.0,23.375293951138396,True
1996,3,33.63,-80.17,33.63,-80.17,0,0,0,0,0,1000.0,0.0,94.55092405401001,True
1996,7,39.33,-77.63,39.32,-77.63,1,0,0,0,0,80000.0,50000.0,41.225597063462665,True
1996,2,29.58,-82.15,29.67,-82.08,0,0,0,0,0,20000.0,0.0,109.44914333361542,True
1996,8,40.8,-98.52,40.8,-98.52,0,0,0,0,0,0.0,30000.0,53.68778065346229,True
1996,9,33.92,-79.92,33.92,-79.88,2,0,0,0,0,75000.0,0.0,110.62406737121842,True
1996,4,39.73,-90.2,39.73,-90.08,2,0,0,1,0,400000.0,0.0,87.18906203028146,True
1996,9,30.45,-98.0,30.45,-97.97,1,0,0,0,0,5000.0,0.0,66.3577464008083,True
1996,7,38.47,-76.98,38.47,-76.98,0,0,0,0,0,4000.0,10000.0,71.45110312848341,True
1996,3,32.42,-87.23,32.5,-86.97,3,4,0,40,0,8000000.0,50000.0,94.03112593775674,True
1996,4,39.83,-88.95,39.83,-88.92,1,0,0,9,0,1500000.0,0.0,48.53639752221278,True
1996,8,44.98,-90.07,44.98,-90.05,1,0,0,0,0,100000.0,110000.0,156.49080401474086,True
1996,8,44.68,-89.42,44.68,-89.42,1,0,0,0,0,90000.0,10000.0,105.59225010798006,True
1996,10,33.17,-94.5,33.12,-94.15,1,0,0,0,0,35000.0,0.0,100.92079695104142,True
1996,8,45.07,-90.07,44.9,-90.03,2,0,0,0,0,200000.0,250000.0,164.7806218600523,True
1996,9,29.53,-99.53,29.58,-99.53,2,0,0,1,0,20000.0,0.0,78.11753607540336,True
