YEAR,MONTH,BEGIN_LAT,BEGIN_LON,TOR_F_SCALE
2008,5,33.819,-81.764,0
2008,2,29.37,-94.99,0
2008,5,33.796,-81.708,0
2008,3,34.1898,-81.5176,1
2008,3,34.6,-80.83,0
2008,3,33.42,-81.7,0
2008,7,45.32,-92.3227,0
2008,4,30.8881,-97.457,0
2008,12,32.25,-93.46,0
2008,12,36.8807,-94.0165,0
2008,12,36.6445,-94.1939,0
2008,12,39.0537,-91.0072,1
2008,12,39.908,-91.1333,1
2008,12,39.9078,-91.0804,0
2008,7,45.3736,-93.8442,0
2008,12,39.5583,-91.5458,0
2008,1,32.0741,-90.8003,1
2008,1,32.4356,-89.9554,0
2008,5,33.805,-81.606,0
2008,12,39.6721,-91.4056,0
2008,2,30.24,-82.2,0
2008,12,35.4638,-80.4488,1
2008,2,29.79,-82.17,0
2008,11,35.82,-77.29,1
2008,2,30.08,-91.83,0
2008,2,30.03,-91.88,0
2008,3,31.23,-81.94,0
2008,8,31.5764,-85.5981,1
2008,8,31.1238,-85.0817,1
2008,8,30.4148,-83.9292,0
2008,8,30.8812,-85.3593,0
2008,3,31.4069,-81.6919,1
2008,1,38.3878,-91.636,0
2008,2,38.5067,-88.9962,0
2008,5,30.16,-92.05,0
2008,5,29.8878,-92.2156,0
2008,5,43.02,-97.23,0
2008,5,43.026,-97.154,1
2008,5,30.201,-92.0176,1
2008,5,43.046,-97.105,1
2008,6,38.8177,-101.3014,0
2008,6,38.8799,-101.1914,0
2008,6,38.7908,-100.48,0
2008,5,30.4077,-93.9324,0
2008,5,30.7526,-93.2425,0
2008,5,29.967,-92.5827,0
2008,5,43.33,-95.79,0
2008,5,42.92,-97.85,0
2008,5,36.9346,-79.5096,1
2008,5,39.2197,-100.43,0
2008,5,39.2776,-100.17,1
2008,8,35.82,-79.8,0
2008,8,35.71,-78.33,0
2008,8,35.73,-78.03,0
2008,8,35.78,-79.42,0
2008,11,28.333,-81.5884,0
2008,11,27.9997,-80.6393,0
2008,5,39.0165,-100.2787,0
2008,11,37.5903,-101.7789,0
2008,5,38.8884,-100.3354,0
2008,5,39.1112,-100.2406,1
2008,5,39.1324,-100.2274,1
2008,5,38.4966,-101.4013,0
2008,5,39.2197,-100.17,0
2008,8,35.5891,-77.9304,0
2008,5,37.47,-94.59,0
2008,9,31.8104,-90.8105,0
2008,5,39.1764,-100.2757,0
2008,5,38.85,-102.0492,0
2008,5,44.88,-101.1,0
2008,5,44.9788,-101.0276,0
2008,5,44.9735,-101.0054,0
2008,5,37.3244,-78.697,1
2008,5,35.0778,-87.4868,1
2008,5,35.142,-86.9564,0
2008,2,31.1878,-86.7004,1
2008,5,43.0391,-96.236,0
2008,5,43.1421,-96.3,2
2008,5,43.28,-96.1902,0
2008,5,30.6044,-90.2297,1
2008,5,43.35,-96.0398,0
2008,8,28.8311,-81.776,0
2008,4,35.389,-81.523,1
2008,4,33.0903,-89.0711,1
2008,4,35.427,-81.463,1
2008,4,35.466,-81.354,1
2008,3,35.55,-95.65,0
2008,3,35.5519,-95.6484,0
2008,6,38.7586,-102.4512,0
2008,6,38.7621,-102.35,0
2008,6,38.7688,-102.5957,0
2008,6,40.1507,-102.7602,0
2008,4,32.9197,-89.5839,1
2008,4,32.931,-89.324,1
2008,5,30.5,-90.666,0
2008,5,43.1366,-95.87,0
2008,4,32.1227,-90.3858,1
2008,4,32.692,-89.73,1
2008,4,32.0477,-90.5383,1
2008,4,32.796,-89.73,1
2008,5,37.7658,-77.2705,0
2008,6,40.0799,-102.7417,0
2008,6,40.1958,-102.23,0
2008,5,36.2769,-76.6873,1
2008,5,36.3535,-76.2575,0
2008,6,40.2102,-100.6334,0
2008,5,33.6729,-90.9225,1
2008,5,39.5603,-79.5168,0
2008,5,31.1658,-89.3483,1
2008,5,33.529,-91.11,0
2008,5,32.8032,-91.8378,0
2008,5,35.9112,-101.5656,0
2008,5,33.036,-82.23,0
2008,5,33.2,-81.184,1
2008,2,32.2434,-95.0635,1
2008,4,34.427,-81.642,0
2008,5,33.6943,-81.4985,0
2008,1,33.1544,-88.4811,1
2008,1,33.1804,-88.3984,0
2008,3,31.9235,-89.8879,1
2008,2,32.6586,-84.093,1
2008,2,38.1218,-85.0512,0
2008,3,31.8002,-93.0248,0
2008,3,34.1561,-95.047,1
2008,4,35.6111,-77.5671,0
2008,4,38.9634,-76.9847,1
2008,2,37.6625,-86.0125,2
2008,2,37.6965,-85.7759,2
2008,1,36.35,-94.2081,0
2008,1,36.3007,-94.5181,1
2008,4,48.2196,-114.3423,0
2008,2,37.6889,-85.0649,2
2008,1,36.0791,-94.6207,0
2008,4,38.5921,-76.8687,0
2008,2,37.8113,-85.3812,2
2008,2,32.2948,-89.8812,1
2008,4,35.51,-76.99,0
2008,4,35.51,-77.1,0
2008,2,32.0431,-89.459,0
2008,1,35.8905,-95.4947,0
2008,1,35.9063,-95.3105,0
2008,3,32.65,-88.57,0
2008,2,37.9917,-85.4187,0
2008,2,37.7265,-85.6326,2
2008,3,32.3551,-89.3226,0
2008,3,31.4954,-93.452,0
2008,2,38.2428,-84.8121,1
2008,3,31.956,-89.7666,1
2008,1,36.4011,-94.33,0
2008,2,34.0388,-84.4789,0
2008,3,31.1989,-89.2265,1
2008,4,37.4359,-76.4515,0
2008,3,33.8716,-86.4459,2
2008,4,44.529,-114.23,0
2008,4,31.921,-92.501,1
2008,3,38.2273,-90.3452,0
2008,4,40.33,-91.28,0
2008,4,40.395,-91.236,0
2008,5,38.3612,-77.5225,2
2008,5,37.7272,-78.8388,0
2008,6,40.9137,-96.6024,0
2008,4,31.82,-92.79,1
2008,3,33.9835,-85.6295,2
2008,4,30.5481,-92.2544,0
2008,4,36.5837,-77.4267,1
2008,4,37.2179,-76.9715,1
2008,4,36.6821,-76.8713,1
2008,4,37.3857,-76.3681,1
2008,4,39.0409,-78.2851,0
2008,8,39.3741,-103.65,0
2008,5,42.806,-106.3181,0
2008,7,40.031,-92.9866,0
2008,7,42.42,-114.46,0
2008,7,43.86,-84.77,0
2008,7,40.9141,-80.0645,0
2008,4,36.3898,-100.8127,0
2008,4,34.0445,-95.7,0
2008,4,35.1398,-94.9825,0
2008,4,35.28,-94.4823,0
2008,4,35.7535,-94.8075,2
2008,4,33.4216,-94.2351,2
2008,4,35.7895,-94.5393,2
2008,4,34.3817,-95.0368,0
2008,4,34.2127,-94.813,0
2008,2,30.9705,-90.3039,0
2008,2,30.6155,-90.5,1
2008,2,29.63,-89.95,0
2008,2,30.7072,-90.75,0
2008,2,30.88,-89.9986,0
2008,1,34.7168,-88.2335,1
2008,2,30.4414,-89.1512,0
2008,2,31.25,-90.3346,0
2008,2,24.7028,-81.0857,0
2008,2,30.0,-90.47,0
2008,8,27.1517,-80.2187,0
2008,8,27.3935,-80.3665,0
2008,3,31.17,-90.7793,1
2008,6,31.99,-81.07,1
2008,8,41.1709,-102.3054,0
2008,7,42.53,-96.45,0
2008,8,42.26,-100.32,0
2008,7,39.37,-101.4379,0
2008,7,43.5835,-95.5006,0
2008,6,36.6456,-94.3343,0
2008,6,38.0892,-92.9131,1
2008,6,43.62,-97.1,0
2008,6,43.86,-96.69,1
2008,3,32.33,-81.2,2
2008,6,38.97,-77.72,0
2008,6,35.7889,-96.1425,0
2008,6,35.8721,-95.15,0
2008,6,38.44,-77.9,0
2008,5,39.55,-83.78,0
2008,5,39.7895,-83.7169,0
2008,6,39.07,-78.04,1
2008,3,35.9249,-80.4957,0
2008,6,38.42,-77.63,1
2008,6,38.7927,-88.91,0
2008,7,38.7898,-77.5394,0
2008,7,38.6695,-78.167,0
2008,8,34.5179,-81.3983,0
2008,12,31.4999,-89.9883,0
2008,12,31.54,-89.9,1
2008,11,35.3385,-78.4554,1
2008,12,31.9649,-90.3922,0
2008,12,31.9474,-90.4368,1
2008,11,36.2744,-96.3883,0
2008,5,33.707,-93.596,0
2008,5,42.5512,-92.882,2
2008,5,42.556,-92.8616,5
2008,11,35.5891,-78.0991,2
2008,8,35.58,-77.93,0
2008,12,32.962,-90.201,2
2008,5,42.5664,-92.5547,2
2008,5,42.5501,-92.6822,0
2008,11,35.4622,-78.2707,0
2008,6,38.3821,-77.4868,1
2008,6,39.0318,-76.9958,0
2008,6,39.2994,-78.1554,0
2008,5,32.202,-94.524,1
2008,6,38.7,-76.56,0
2008,5,34.443,-94.707,0
2008,5,33.582,-93.312,1
2008,5,34.241,-94.026,1
2008,5,32.183,-94.764,1
2008,6,37.87,-102.36,0
2008,6,42.99,-98.45,1
2008,6,43.8351,-95.7589,1
2008,6,43.848,-95.7455,1
2008,6,43.9028,-95.6053,1
2008,6,44.133,-95.19,0
2008,6,40.38,-92.96,0
2008,6,40.44,-92.96,0
2008,6,33.26,-80.24,0
2008,6,32.74,-80.09,0
2008,7,44.79,-99.1,0
2008,6,37.8813,-101.7895,0
2008,6,37.3578,-100.5489,1
2008,6,42.98,-95.67,0
2008,6,42.93,-95.55,1
2008,6,43.0121,-95.28,2
2008,6,43.16,-95.02,0
2008,6,42.98,-94.99,0
2008,6,37.8064,-98.5179,1
2008,6,39.0558,-100.047,0
2008,6,39.0309,-100.02,0
2008,6,43.97,-104.92,0
2008,6,43.33,-96.0,0
2008,6,43.34,-95.83,0
2008,6,42.54,-95.97,0
2008,5,37.9254,-99.3943,2
2008,5,39.0091,-99.5459,0
2008,6,35.11,-101.36,0
2008,7,37.2187,-77.4245,1
2008,6,36.63,-100.66,0
2008,10,30.79,-82.56,0
2008,5,39.1097,-99.4615,1
2008,5,38.9622,-99.5526,0
2008,6,36.47,-100.65,0
2008,5,36.6845,-96.33,0
2008,5,36.324,-94.2772,1
2008,5,35.57,-93.7844,0
2008,9,36.2239,-77.1189,0
2008,5,37.3428,-99.7264,3
2008,10,31.1399,-86.4719,0
2008,5,38.279,-100.2445,0
2008,5,37.7696,-99.6187,2
2008,5,37.8054,-99.5596,2
2008,5,37.4707,-98.651,0
2008,5,37.4318,-98.6359,0
2008,11,33.671,-80.542,0
2008,5,38.7608,-99.6918,2
2008,5,38.2325,-100.2318,0
2008,5,38.2619,-100.2227,0
2008,5,37.7526,-99.013,0
2008,9,20.8104,-156.9404,0
2008,5,37.4708,-98.6035,1
2008,5,37.0724,-100.0556,0
2008,8,34.8319,-104.5672,0
2008,5,37.1922,-98.8663,0
2008,9,37.09,-92.14,0
2008,8,35.58,-105.84,0
2008,5,37.0717,-98.9081,0
2008,5,37.3716,-98.7466,2
2008,5,37.4359,-98.6618,0
2008,5,35.2445,-90.5047,3
2008,5,38.5621,-100.6751,1
2008,5,38.5127,-100.872,0
2008,5,39.0136,-99.6749,0
2008,5,38.4143,-99.4697,0
2008,5,38.5117,-99.2849,0
2008,5,38.4978,-99.2177,0
2008,5,37.2703,-99.4187,1
2008,5,37.3818,-99.4046,2
