YEAR,MONTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,TOR_F_SCALE,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,RADAR_DIST,RADAR_2026
2005,1,33.8,-82.2,33.8,-82.2,0,0,0,0,0,0.0,0.0,101.19260798399914,True
2005,1,36.58333,-92.28333,36.58333,-92.28333,0,0,0,0,0,50000.0,0.0,122.94985847565373,True
2005,1,36.86667,-91.9,37.03333,-91.68333,1,0,0,0,0,300000.0,0.0,139.3049355070437,True
2005,1,37.01667,-91.68333,37.01667,-91.61667,0,0,0,0,0,100000.0,0.0,154.14478583529092,True
2005,1,34.18,-81.86667,34.37,-81.76667,0,0,0,0,0,0.0,0.0,73.55450785077846,True
2005,2,28.03333,-80.58333,28.03333,-80.58333,1,0,0,1,0,600000.0,0.0,11.280696471587202,True
2005,1,33.5,-82.41667,33.5,-82.41667,0,0,0,0,0,0.0,0.0,126.46731600105777,True
2005,1,33.75,-82.31667,33.75,-82.31667,0,0,0,0,0,0.0,0.0,112.82008006489912,True
2005,4,34.41667,-81.61667,34.41667,-81.61667,0,0,0,0,0,0.0,0.0,69.33856480881633,True
2005,3,37.65,-122.41667,37.65,-122.41667,1,0,0,0,0,800000.0,0.0,71.5707500474114,True
2005,4,33.21667,-86.56667,33.23333,-86.55,1,0,0,0,0,200000.0,0.0,19.53749684596015,True
2005,4,33.11667,-85.55,33.11667,-85.55,1,0,0,0,0,3000.0,0.0,68.27606746513206,True
2005,4,33.1,-85.55,33.13333,-85.53333,1,0,0,0,0,60000.0,0.0,66.52855396810384,True
2005,4,33.83333,-87.18333,33.83333,-87.16667,1,0,0,0,0,125000.0,0.0,82.94162997835906,True
2005,4,41.1,-97.43333,41.1,-97.43333,0,0,0,0,0,0.0,0.0,92.51737133846747,True
2005,4,31.98333,-85.7,32.05,-85.51667,0,0,0,0,0,45000.0,0.0,62.10134800061957,True
2005,4,31.96667,-85.5,32.03333,-85.36667,1,0,0,0,0,40000.0,0.0,56.408987611745594,True
2005,4,33.1,-85.83333,33.1,-85.58333,1,0,0,0,0,20000.0,0.0,62.775007720203945,True
2005,4,33.1,-85.85,33.16667,-85.56667,1,0,0,0,0,80000.0,0.0,62.89527656402741,True
2005,4,33.06667,-85.61667,33.08333,-85.58333,1,0,0,0,0,18000.0,0.0,61.11642110033136,True
2005,4,33.23333,-87.61667,33.28333,-87.51667,0,0,0,0,0,95000.0,0.0,79.09608995689354,True
2005,4,32.28333,-86.78333,32.3,-86.76667,1,0,0,1,0,110000.0,0.0,97.43164477604009,True
2005,5,37.86667,-97.66667,37.86667,-97.66667,0,0,0,0,0,0.0,0.0,30.71390878185262,True
2005,4,37.45,-120.71667,37.45,-120.7,0,0,0,0,0,25000.0,50000.0,109.54407585280863,True
2005,4,33.26667,-86.88333,33.38333,-86.75,1,0,0,0,0,400000.0,0.0,14.921305390965355,True
2005,4,32.1,-89.68333,32.21667,-89.65,2,0,0,0,0,120000.0,2200000.0,34.69070420299462,True
2005,4,39.46667,-98.96667,39.46667,-98.98333,0,0,0,0,0,0.0,0.0,104.99882550810698,True
2005,4,39.46667,-99.25,39.45,-99.26667,0,0,0,0,0,0.0,0.0,117.35832712941959,True
2005,4,37.03333,-95.03333,37.03333,-95.03333,0,0,0,0,0,0.0,0.0,106.55642042362115,True
2005,4,37.41667,-95.1,37.41667,-95.1,0,0,0,0,0,0.0,0.0,144.1203087418326,True
2005,4,40.46667,-97.53333,40.46667,-97.53333,0,0,0,0,0,0.0,0.0,78.63737597438356,True
2005,4,33.13333,-88.16667,33.15,-88.15,0,0,0,0,0,50000.0,0.0,86.23264303606022,True
2005,4,34.41667,-85.61667,34.41667,-85.6,0,0,0,0,0,4000.0,0.0,71.33282290828652,True
2005,4,34.4,-85.56667,34.41667,-85.56667,0,0,0,0,0,20000.0,0.0,75.60074268521728,True
2005,4,31.78333,-89.65,32.05,-89.33333,3,0,0,0,0,8000000.0,600000.0,63.5909990462472,True
2005,4,32.58333,-89.56667,32.8,-89.31667,1,0,0,0,0,700000.0,100000.0,51.72046038539861,True
2005,4,32.16667,-89.68333,32.21667,-89.66667,1,0,0,0,0,4000.0,30000.0,31.00118909872717,True
