YEAR,MONTH,BEGIN_LAT,BEGIN_LON,TOR_F_SCALE
2004,12,38.45,-122.7,0
2004,12,32.23333,-89.43333,0
2004,12,39.4,-85.5,0
2004,2,19.18333,-155.46667,0
2004,9,38.73333,-77.46667,1
2004,9,38.77,-77.43333,1
2004,9,38.78333,-77.45,1
2004,12,33.95,-118.03333,0
2004,10,29.4,-90.28333,0
2004,9,38.77,-77.43333,1
2004,1,21.41667,-158.03333,0
2004,11,29.68333,-91.0,1
2004,12,32.03333,-89.61667,0
2004,11,31.66667,-93.06667,0
2004,12,30.16667,-92.18333,1
2004,12,30.38333,-86.51667,0
2004,12,31.73333,-99.33333,0
2004,11,29.6,-90.71667,0
2004,2,21.38333,-158.91667,0
2004,11,30.43333,-89.08333,2
2004,12,33.78333,-118.16667,0
2004,11,29.9,-90.13333,1
2004,11,29.81667,-89.98333,0
2004,11,30.3,-89.85,2
2004,12,33.96667,-118.3,0
2004,12,31.91667,-98.98333,1
2004,11,31.33333,-92.95,2
2004,11,31.56667,-92.71667,0
2004,11,31.38333,-92.56667,0
2004,11,31.93333,-92.2,2
2004,11,31.88333,-92.25,3
2004,6,40.8,-115.48333,0
2004,6,40.81667,-117.51667,0
2004,6,41.31667,-118.16667,0
2004,6,41.1,-117.71667,0
2004,1,31.98333,-99.63333,0
2004,2,28.05,-81.81667,0
2004,1,30.15,-92.1,2
2004,2,31.63333,-90.66667,1
2004,2,30.6,-96.33333,0
2004,4,26.16667,-81.66667,1
2004,4,33.13333,-104.81667,0
2004,3,34.75,-86.85,0
2004,2,35.1,-120.63333,0
2004,4,33.18333,-104.76667,0
2004,4,33.23333,-104.68333,0
2004,3,31.21667,-101.9,0
2004,2,31.8,-90.0,1
2004,2,32.08333,-82.11667,0
2004,3,32.13333,-95.41667,1
2004,3,27.06667,-80.15,0
2004,3,27.0,-80.2,0
2004,4,42.26667,-98.48333,0
2004,4,41.43333,-88.8,1
2004,4,41.51667,-88.68333,0
2004,4,40.86667,-88.11667,0
2004,4,43.15,-93.13333,0
2004,4,42.36667,-98.75,0
2004,4,35.03333,-97.33333,0
2004,4,41.4,-88.33333,0
2004,4,41.53333,-88.11667,1
2004,4,42.25,-97.6,0
2004,4,40.88333,-88.11667,0
2004,3,30.6,-96.33333,0
2004,4,36.1,-100.8,0
2004,4,30.76667,-85.85,0
2004,4,40.83333,-88.18333,0
2004,4,41.05,-87.95,1
2004,4,35.03333,-97.4,0
2004,4,35.18333,-96.63333,0
2004,4,41.21667,-87.66667,0
2004,3,35.68333,-94.18333,0
2004,4,41.31667,-87.6,0
2004,4,41.08333,-87.61667,2
2004,3,38.36667,-98.58333,0
2004,4,41.35,-89.0,2
2004,4,34.21667,-98.7,0
2004,3,32.45,-99.86667,1
2004,3,30.91667,-99.78333,0
2004,3,31.01667,-99.18333,2
2004,4,37.28333,-89.85,2
2004,3,37.96667,-99.48333,3
2004,3,38.1,-99.4,0
2004,3,37.95,-99.53333,0
2004,3,33.11667,-99.18333,0
2004,3,30.73333,-99.21667,0
2004,3,31.83333,-99.43333,0
2004,3,31.3,-99.6,0
2004,3,37.05,-98.68333,0
2004,4,32.06667,-111.96667,0
2004,3,34.76667,-86.88333,0
2004,4,39.93333,-86.65,0
2004,5,41.61667,-94.0,1
2004,5,37.55,-97.5,2
2004,5,37.7,-97.33333,0
2004,5,37.7,-97.33333,4
2004,4,28.55,-96.96667,0
2004,5,32.45,-100.71667,0
2004,5,32.5,-100.9,0
2004,5,34.95,-88.93333,1
2004,5,41.43333,-97.08333,0
2004,5,41.28333,-93.86667,0
2004,4,41.95,-90.68333,1
2004,4,45.65,-92.75,0
2004,5,46.83333,-122.93333,1
2004,4,41.15,-89.51667,0
2004,4,41.25,-89.28333,2
2004,6,61.01667,-161.75,0
2004,4,26.96667,-82.33333,0
2004,4,45.68333,-92.6,0
2004,5,41.3,-95.03333,1
2004,5,41.01667,-100.56667,0
2004,5,41.11667,-99.45,0
2004,5,41.06667,-99.3,0
2004,5,42.8,-92.25,0
2004,5,37.08333,-91.45,0
2004,5,37.65,-92.63333,1
2004,4,34.25,-93.46667,1
2004,6,60.8,-163.53333,0
2004,5,40.85,-95.73333,0
