YEAR,MONTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,TOR_F_SCALE,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,RADAR_DIST,RADAR_2026
1994,3,34.43,-85.98,34.47,-85.78,4,0,0,20,0,5000000.0,0.0,56.45918212884322,True
1994,11,32.73,-91.03,32.7,-90.92,1,0,0,2,0,150000.0,0.0,110.07778920611771,True
1994,6,35.13,-90.02,35.13,-89.92,1,0,0,0,0,500000.0,0.0,27.34029618908235,True
1994,4,34.75,-81.28,34.78,-81.25,2,1,0,4,0,5000000.0,0.0,87.0669001123826,True
1994,3,34.95,-82.13,35.12,-81.5,1,0,0,4,0,500000.0,0.0,11.04954300501101,True
1994,3,33.3,-86.85,33.38,-86.63,2,0,0,53,0,5000000.0,0.0,16.07841344074562,True
1994,11,32.6,-89.12,32.77,-88.88,1,0,0,0,0,1000000.0,0.0,88.582636721467,True
1994,5,32.18,-99.2,32.12,-99.15,2,0,0,3,0,500000.0,0.0,40.167909148490025,True
1994,4,34.67,-95.1,34.73,-95.07,1,0,0,0,0,50000.0,0.0,96.33969812727051,True
1994,9,41.5,-78.13,41.5,-78.05,1,0,0,0,0,0.0,0.0,65.01542067818359,True
1994,5,34.38,-100.38,34.42,-100.33,1,0,0,0,0,50000.0,0.0,128.81290462126677,True
1994,5,30.2,-95.78,30.23,-95.72,0,0,0,0,0,0.0,0.0,105.48607420657223,True
1994,5,30.2,-95.78,30.23,-95.72,0,0,0,0,0,0.0,0.0,105.48607420657223,True
1994,4,33.68,-97.57,33.75,-97.52,0,0,0,0,0,0.0,0.0,125.6012853823192,True
1994,4,33.68,-97.57,33.75,-97.52,1,0,0,0,0,500000.0,0.0,125.6012853823192,True
1994,6,34.85,-83.03,34.97,-82.93,2,0,0,1,0,500000.0,0.0,74.0073263925838,True
1994,4,41.32,-87.58,41.35,-87.52,1,0,0,0,0,50000.0,0.0,52.604312186703076,True
1994,6,36.13,-88.98,36.18,-88.92,1,0,0,0,0,500000.0,0.0,105.97772283659604,True
1994,8,43.85,-95.62,43.82,-95.62,1,0,0,0,0,0.0,10000.0,93.76329490009749,True
1994,6,42.17,-93.5,42.23,-93.4,1,0,0,0,0,50000.0,500.0,52.16712934632739,True
1994,10,44.53,-96.25,44.53,-96.15,0,0,0,0,0,0.0,0.0,111.53998675895727,True
