YEAR,MONTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,TOR_F_SCALE,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,RADAR_2026
1995,4,32.52,-86.37,32.53,-86.3,F1,0,0,0,0,25000.0,0.0,True
1995,5,39.98,-86.9,39.97,-86.57,F2,3,0,5,0,3500000.0,0.0,True
1995,3,36.57,-100.67,36.58,-100.62,F1,0,0,0,0,300000.0,0.0,True
1995,11,31.18,-81.5,31.15,-81.38,F1,0,0,0,0,40000.0,0.0,True
1995,5,38.25,-90.13,38.28,-90.08,F2,0,0,0,0,110000.0,0.0,True
1995,5,38.27,-90.08,38.3,-90.02,F1,0,0,0,0,100000.0,0.0,True
1995,5,39.12,-93.78,39.18,-93.72,F0,0,0,0,0,25000.0,4000.0,True
1995,6,35.97,-100.47,36.03,-100.38,F0,0,0,0,0,0.0,0.0,True
1995,11,31.73,-89.67,31.77,-89.53,,0,0,2,0,500000.0,0.0,True
1995,5,36.5,-89.27,36.55,-89.18,F1,0,0,0,0,30000.0,0.0,True
1995,4,33.33,-91.45,33.37,-91.42,F0,0,0,0,0,0.0,0.0,True
1995,6,35.18,-100.65,35.23,-100.62,F2,0,0,0,0,100000.0,0.0,True
1995,6,35.12,-100.75,35.2,-100.7,F0,0,0,0,0,0.0,0.0,True
1995,6,35.25,-100.6,35.55,-100.38,F4,0,0,0,0,200000.0,0.0,True
1995,6,42.12,-93.67,42.18,-93.72,F0,0,0,0,0,15000.0,1000.0,True
1995,1,34.13,-81.23,34.13,-81.2,F1,0,0,0,0,10000000.0,0.0,True
1995,8,44.02,-92.48,44.03,-92.4,F0,0,0,0,0,70000.0,0.0,True
1995,5,38.25,-90.18,38.32,-90.12,F1,0,0,0,0,50000.0,0.0,True
1995,7,41.75,-90.78,41.72,-90.72,F2,0,0,0,0,10000.0,70000.0,True
1995,5,39.42,-101.05,39.37,-100.7,F2,0,0,1,0,700000.0,3500000.0,True
1995,4,34.63,-97.13,34.67,-97.13,F0,0,0,0,0,0.0,0.0,True
1995,5,34.35,-97.07,34.4,-97.05,F1,0,0,0,0,500000.0,0.0,True
1995,5,38.87,-76.0,38.87,-75.8,F1,0,0,2,0,2000000.0,0.0,True
1995,11,37.68,-92.77,37.62,-92.6,F2,0,0,0,0,3000000.0,0.0,True
