EPISODE_ID,EVENT_ID,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,DATA_SOURCE,YEARMONTH
2152355.0,5432062,32.0,2004,July,Tornado,0,0,0,0,,,GENERAL PUBLIC,,F0,0.1,200.0,,,,,8.0,N,RENO,8.0,N,,,,,PDS,2004-07-01
1182775.0,5430397,6.0,2004,December,Tornado,0,0,0,0,3.0,,LAW ENFORCEMENT,,F0,0.2,3.0,,,,,,,SANTA ROSA,,,38.45,-122.7,38.45,-122.7,PDS,2004-12-01
1182727.0,5430610,28.0,2004,December,Tornado,0,0,0,0,5.0,,NWS STORM SURVEY,,F0,0.2,50.0,,,,,2.0,SW,DE KALB,2.0,SW,32.23333,-89.43333,32.28333,-89.38333,PDS,2004-12-01
1182686.0,5430497,18.0,2004,December,Tornado,0,0,0,0,15.0,,NWS STORM SURVEY,,F0,1.5,75.0,,,,,2.0,SW,SANDUSKY,2.0,SW,39.4,-85.5,39.41667,-85.48333,PDS,2004-12-01
1183227.0,5431177,15.0,2004,February,Tornado,0,0,0,0,,,NWS STORM SURVEY,,F0,5.0,25.0,,,,,2.0,SE,PAHALA,2.0,SE,19.18333,-155.46667,19.41667,-155.23333,PDS,2004-02-01
1190714.0,5431956,51.0,2004,September,Tornado,0,0,0,0,,,NWS STORM SURVEY,,F1,1.6,75.0,,,,,2.0,SE,MANASSAS,2.0,SE,38.73333,-77.46667,38.76667,-77.45,PDS,2004-09-01
1190714.0,5431957,51.0,2004,September,Tornado,0,0,0,0,,,NWS STORM SURVEY,,F1,0.3,75.0,,,,,2.0,S,YORKSHIRE,2.0,S,38.77,-77.43333,38.77,-77.43333,PDS,2004-09-01
1190714.0,5432279,51.0,2004,September,Tornado,0,0,0,0,,,NWS STORM SURVEY,,F1,0.3,75.0,,,,,0.0,S,MANASSAS PARK,0.0,S,38.78333,-77.45,38.78333,-77.45,PDS,2004-09-01
1182734.0,5430715,6.0,2004,December,Tornado,0,0,0,0,,,NWS STORM SURVEY,,F0,0.5,5.0,,,,,,,WHITTIER,,,33.95,-118.03333,33.95,-118.03333,PDS,2004-12-01
1187101.0,5431112,22.0,2004,October,Tornado,0,0,0,0,5.0,,EMERGENCY MANAGER,,F0,0.1,20.0,,,,,,,GOLDEN MEADOW,,,29.4,-90.28333,29.4,-90.28333,PDS,2004-10-01
1190714.0,5432280,51.0,2004,September,Tornado,0,0,0,0,,,NWS STORM SURVEY,,F1,1.8,75.0,,,,,1.0,S,YORKSHIRE,1.0,N,38.77,-77.43333,38.78,-77.43333,PDS,2004-09-01
1183413.0,5432479,15.0,2004,January,Tornado,0,0,0,0,,,NEWSPAPER,,F0,1.0,25.0,,,,,3.0,NW,WAIPAHU,3.0,NW,21.41667,-158.03333,21.41667,-158.03333,PDS,2004-01-01
1187136.0,5431516,22.0,2004,November,Tornado,0,0,0,0,50.0,,EMERGENCY MANAGER,,F1,0.5,30.0,,,,,,,GIBSON,,,29.68333,-91.0,29.68333,-91.0,PDS,2004-11-01
1182727.0,5430609,28.0,2004,December,Tornado,0,0,0,0,5.0,,NWS STORM SURVEY,,F0,0.2,50.0,,,,,7.0,SW,DE KALB,7.0,SW,32.03333,-89.61667,32.21667,-89.4,PDS,2004-12-01
1187060.0,5432384,22.0,2004,November,Tornado,0,0,0,0,30.0,,NWS STORM SURVEY,,F0,1.0,25.0,,,,,1.0,SW,NATCHEZ,1.0,SW,31.66667,-93.06667,31.68333,-93.08333,PDS,2004-11-01
1183143.0,5431836,22.0,2004,December,Tornado,1,0,0,0,250.0,,NWS STORM SURVEY,,F1,7.0,50.0,,,,,,,RIDGE,,,30.16667,-92.18333,30.23333,-92.1,PDS,2004-12-01
1182569.0,5430560,12.0,2004,December,Tornado,0,0,0,0,5.0,,EMERGENCY MANAGER,,F0,0.1,30.0,,,,,,,DESTIN,,,30.38333,-86.51667,30.38333,-86.51667,PDS,2004-12-01
1182904.0,5430848,48.0,2004,December,Tornado,0,0,0,0,250.0,,NWS STORM SURVEY,,F0,0.5,50.0,,,,,,,SANTA ANNA,,,31.73333,-99.33333,31.73333,-99.33333,PDS,2004-12-01
1187111.0,5431127,22.0,2004,November,Tornado,0,0,0,0,2.0,,EMERGENCY MANAGER,,F0,0.1,20.0,,,,,,,HOUMA,,,29.6,-90.71667,29.6,-90.71667,PDS,2004-11-01
