YEAR,MONTH,BEGIN_LAT,BEGIN_LON,TOR_F_SCALE,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,RADAR_DIST,RADAR_2026
2020,6,39.4474,-100.3966,0,0,0,0,0,10000.0,0.0,112.36085247145563,True
2020,6,39.0,-102.95,-1,0,0,0,0,0.0,0.0,115.18198706981113,True
2020,6,38.988,-102.9446,-1,0,0,0,0,0.0,0.0,115.23657336847396,True
2020,6,39.0537,-102.5977,-1,0,0,0,0,0.0,0.0,84.80259506558843,True
2020,6,39.149,-102.1831,-1,0,0,0,0,0.0,0.0,48.11881768490022,True
2020,6,40.091,-101.8697,-1,0,0,0,0,0.0,0.0,81.80512438926368,True
2020,7,25.8729,-97.4287,0,0,0,0,0,250000.0,0.0,4.848886147165838,True
2020,4,29.0165,-82.1517,1,0,0,0,0,0.0,0.0,147.84368616361533,True
2020,4,29.83,-83.6,1,0,0,0,0,50000.0,0.0,94.32470010110505,True
2020,4,30.6577,-84.622,1,0,0,0,0,50000.0,0.0,40.31569226883552,True
2020,2,35.498,-80.564,2,0,0,0,0,500000.0,0.0,165.26364400714718,True
2020,8,45.7392,-87.1611,1,0,0,0,0,150000.0,0.0,92.97280018533316,True
2020,1,30.3439,-89.3831,-1,0,0,0,0,0.0,0.0,100.12980242529021,True
2020,4,30.3684,-90.0845,1,0,0,0,0,0.0,0.0,35.22559388068659,True
2020,5,30.4404,-90.1817,1,0,0,0,0,0.0,0.0,23.352689568695368,True
2020,8,35.61,-90.38,0,0,0,0,0,0.0,0.0,54.54386151386358,True
2020,8,35.81,-90.47,1,0,0,0,0,50000.0,0.0,74.75639963539295,True
2020,8,35.38,-90.99,1,0,0,0,0,30000.0,0.0,101.33547205814376,True
2020,8,34.96,-90.87,0,0,0,0,0,3000.0,0.0,100.20271537481484,True
2020,2,35.362,-80.3361,1,0,0,0,0,500000.0,0.0,170.45682253972774,True
2020,2,35.8501,-79.6473,1,0,0,0,0,250000.0,0.0,106.43051560157141,True
2020,2,35.509,-80.351,0,0,0,0,0,0.0,0.0,168.6188679932284,True
2020,2,35.196,-81.323,1,0,0,0,0,0.0,0.0,88.74353506407684,True
2020,2,35.127,-80.651,1,0,0,0,0,0.0,0.0,137.8542971038034,True
2020,2,35.461,-81.474,0,0,0,0,0,0.0,0.0,93.39136861811299,True
2020,3,36.1075,-85.4461,0,0,0,0,0,5000.0,0.0,101.40006325731116,True
2020,6,27.1077,-82.4161,0,0,0,0,0,0.0,0.0,66.4614528084613,True
2020,6,27.24,-82.44,0,0,0,0,0,0.0,0.0,51.8717409412698,True
2020,2,31.208,-82.3642,0,0,0,0,0,0.0,0.0,70.26752878505008,True
2020,6,30.087,-82.6754,0,0,0,0,0,0.0,0.0,94.63674892128857,True
