YEAR,MONTH,BEGIN_LAT,BEGIN_LON,TOR_F_SCALE,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,RADAR_DIST,RADAR_2026
2018,6,40.9,-101.79,0,0,0,0,0,0.0,0.0,155.17070976166465,True
2018,5,27.1902,-81.7471,0,0,0,0,0,10000.0,0.0,86.3462329303877,True
2018,1,38.5094,-90.8232,0,0,0,0,0,0.0,0.0,24.34789886315178,True
2018,5,37.09,-97.07,0,0,0,0,0,0.0,0.0,70.89342847491186,True
2018,2,30.96,-93.0201,1,0,0,0,0,25000.0,0.0,22.118733070342962,True
2018,2,30.9987,-85.3859,0,0,0,0,0,0.0,0.0,51.82844286564387,True
2018,12,39.4439,-90.851,1,0,0,0,0,0.0,0.0,84.10573837364956,True
2018,12,39.031,-89.7523,1,0,0,0,0,0.0,0.0,88.62030394710382,True
2018,12,39.348,-89.4577,0,0,0,0,0,0.0,0.0,89.82951085076556,True
2018,12,39.2584,-89.5486,1,0,0,0,0,0.0,0.0,100.8371592354313,True
2018,12,39.7272,-90.6537,1,0,0,0,0,0.0,0.0,114.37138963220171,True
2018,12,39.1522,-89.6324,2,0,0,0,0,0.0,0.0,103.90712739015699,True
2018,12,39.6319,-90.7143,0,0,0,0,0,0.0,0.0,103.78269271968709,True
2018,2,35.4534,-91.0543,0,0,0,0,0,20000.0,0.0,107.72142156882838,True
2018,1,35.1771,-92.3648,1,0,0,0,0,100000.0,0.0,39.02740811666275,True
2018,2,32.7853,-89.133,0,0,0,0,0,50000.0,0.0,97.61224922111009,True
2018,4,35.085,-81.116,0,0,0,0,0,50000.0,0.0,103.03247454712726,True
2018,2,36.6685,-119.5134,0,0,0,0,0,0.0,0.0,40.80535035968373,True
2018,6,28.0124,-82.3923,0,0,0,0,0,100000.0,0.0,34.16444418449339,True
2018,1,40.8081,-124.1631,0,0,0,0,0,100.0,0.0,36.12431138310365,True
2018,1,32.1196,-96.3186,0,0,0,0,0,90000.0,0.0,105.32320302087624,True
2018,2,32.3963,-88.9137,1,0,0,0,0,200000.0,0.0,101.42273321530189,True
2018,5,39.4191,-90.603,0,0,0,0,0,0.0,0.0,80.38042841048012,True
2018,5,39.416,-90.6153,0,0,0,0,0,0.0,0.0,79.95262034437596,True
2018,1,33.0015,-95.3288,0,0,0,0,0,5000.0,0.0,152.02682551763596,True
2018,1,31.74,-89.48,1,0,0,1,0,30000.0,0.0,76.59948702681079,True
2018,1,31.78,-89.4,0,0,0,1,0,15000.0,0.0,78.2702939012261,True
2018,1,30.76,-93.89,0,0,0,0,0,20000.0,0.0,95.69293914427152,True
2018,1,33.6222,-94.4294,1,0,0,0,0,40000.0,0.0,141.31838906091087,True
2018,1,33.5655,-94.5114,0,0,0,0,0,50000.0,0.0,138.8067231165371,True
2018,1,37.0474,-93.8293,1,0,0,0,0,100000.0,0.0,43.38869513514678,True
