YEAR,MONTH,BEGIN_LAT,BEGIN_LON,TOR_F_SCALE,DEATHS_DIRECT,DEATHS_INDIRECT,INJURIES_DIRECT,INJURIES_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,RADAR_DIST,RADAR_2026
2001,8,40.75,-111.75,0,0,0,0,0,0.0,0.0,81.72591190125422,True
2001,8,39.63333,-111.43333,0,0,0,0,0,0.0,0.0,200.48721488506416,True
2001,7,39.6,-110.81667,0,0,0,0,0,0.0,0.0,230.73690218776392,True
2001,1,32.38333,-86.26667,0,0,0,4,0,450000.0,0.0,47.88314438871803,True
2001,4,40.06667,-98.51667,0,0,0,0,0,1000.0,0.0,28.965337556374713,True
2001,3,28.33333,-82.23333,0,0,0,0,0,150000.0,0.0,71.77151588952107,True
2001,3,32.38333,-86.3,1,0,0,0,0,125000.0,0.0,50.817545248839636,True
2001,3,28.35,-82.7,0,0,0,0,0,250000.0,0.0,77.43024334981837,True
2001,2,34.78333,-86.76667,0,0,0,0,0,40000.0,0.0,64.43931784447618,True
2001,3,29.91667,-98.51667,0,0,0,0,0,0.0,0.0,52.69130145272207,True
2001,3,33.81667,-80.76667,0,0,0,0,0,0.0,0.0,35.64677658031551,True
2001,4,39.15,-99.4,1,0,0,0,0,600000.0,0.0,153.81855737687295,True
2001,4,39.21667,-99.3,0,0,0,1,0,100000.0,0.0,143.01016804425896,True
2001,5,41.21667,-84.98333,0,0,0,0,0,500.0,0.0,61.924252122678475,True
2001,4,39.71667,-99.26667,0,0,0,0,0,125000.0,0.0,97.18725906576582,True
2001,6,42.63333,-102.2,0,0,0,0,0,10000.0,10000.0,153.2177369142777,True
2001,5,43.81667,-120.78333,0,0,0,0,0,0.0,0.0,249.02533342998368,False
2001,5,28.53333,-100.31667,0,0,0,0,0,0.0,0.0,82.26829406710965,True
2001,5,30.08333,-100.21667,0,0,0,0,0,0.0,0.0,90.36929669068788,True
2001,4,39.61667,-98.88333,1,0,0,0,0,75000.0,0.0,86.8651829684264,True
2001,3,28.95,-82.56667,0,0,0,0,0,200000.0,0.0,139.343579405624,True
2001,4,41.05,-89.53333,0,0,0,0,0,0.0,0.0,101.38790693369718,True
2001,3,28.88333,-82.38333,0,0,0,1,0,75000.0,0.0,131.00696636214334,True
2001,4,40.4,-98.55,0,0,0,0,0,0.0,0.0,12.701455646085023,True
2001,4,40.15,-98.21667,1,0,0,0,0,40000.0,0.0,26.953391227748966,True
2001,4,40.15,-97.56667,1,0,0,1,0,30000.0,0.0,76.6874761615305,True
